Age (ka),PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30
34,0.47704,-0.13793,0.0033778,0.029638,-0.48395,-0.11255,0.39194,0.039653,0.25641,0.073789,-0.28288,0.095177,-0.14226,-0.12587,0.011194,0.030117,0.12261,-0.095032,0.072846,0.10246,0.037869,0.040204,0.0020811,0.02978,-0.10758,-0.055339,-0.068876,-0.077166,-0.049396,-0.015821
36,0.72223,-0.19072,0.038555,-0.066482,-0.64367,0.011432,-0.012016,0.2585,-0.20292,0.21784,0.26556,0.2351,0.018144,-0.21748,0.096453,-0.14837,0.063603,-0.031515,-0.021026,-0.14059,0.066337,-0.085137,-0.045435,0.076623,0.21162,-0.068009,0.04343,0.015922,0.039105,-0.021363
38,0.59608,-0.25048,-0.11095,0.20779,0.22062,0.15278,-0.12123,0.067973,-0.092399,-0.045655,0.30715,-0.17712,-0.03731,-0.041638,-0.064965,-0.10478,0.091719,0.28029,0.013846,-0.018653,-0.078579,-0.13147,0.022351,-0.016545,0.023486,-0.011474,0.014026,0.049528,-0.029894,0.010157
40,0.61853,-0.19461,-0.08927,0.21969,-0.29146,-0.1075,0.012139,-0.12441,0.080585,0.045306,0.16143,0.052847,0.094634,0.00042794,0.15242,-0.023621,0.062889,0.0026784,-0.012375,0.047045,-0.0036718,-0.073796,-0.028653,-0.054798,-0.017786,0.032152,0.014117,-0.0035704,-0.02253,-0.014843
42,0.63466,-0.24627,-0.059616,0.17074,-0.43575,-0.039143,-0.069057,0.16568,0.19964,0.0041515,-0.046948,0.2303,-0.058237,-0.050409,0.12636,-0.042345,0.074501,-0.13913,-0.077388,-0.00072743,0.12382,0.024897,-0.059588,-0.011551,0.010384,0.014735,-0.014795,-0.019611,-0.017783,0.039075
44,0.28683,-0.085353,-0.38775,0.33891,-0.011256,0.052118,-0.0409,-0.23927,0.32724,0.25573,-0.20266,0.2198,0.07555,0.30641,0.016395,-0.043813,-0.045751,-0.012342,-0.024887,-0.10526,0.049485,-0.04651,-0.043963,0.046896,0.038385,0.021218,-0.057684,0.023566,0.027902,0.005179
46,0.38464,-0.099802,-0.16159,0.37036,-0.28383,0.28856,-0.25633,0.26439,-0.22211,-0.029544,-0.049617,-0.017242,-0.04317,-0.026882,0.062174,-0.090356,0.092016,-0.071285,-0.041718,-0.13202,-0.11376,0.048966,-0.078613,-0.049835,-0.064381,0.015407,-0.014619,0.037705,-0.030058,0.021283
48,0.52781,-0.32345,-0.15499,0.17165,-0.21632,0.14804,-0.17766,0.25855,-0.22705,-0.28953,-0.26635,-0.019505,-0.057303,-0.039861,-0.023055,0.0072882,0.038194,0.077902,0.041676,0.10079,-0.053302,-0.028446,0.091908,0.017058,0.014954,-0.017617,-0.028596,0.005673,-0.0066714,0.017922
50,0.13212,-0.10801,-0.04373,0.29588,-0.56032,-0.27856,-0.070488,-0.28937,-0.46362,0.048388,-0.29063,-0.032179,-0.24315,0.060432,0.091837,0.12089,-0.1178,0.09597,-0.02923,-0.071602,-0.021395,-0.021625,0.086975,0.053146,-0.042787,0.067242,0.11121,0.01502,0.0085597,0.00011492
52,0.50384,-0.2818,-0.18397,0.24432,0.085119,0.12295,-0.44177,0.36975,-0.069782,-0.18426,-0.16828,-0.028917,0.049839,-0.1195,-0.26651,0.13013,-0.080721,-0.10218,0.17534,-0.027582,-0.051258,0.046557,-0.00075801,0.031865,-0.019123,-0.058588,0.039782,0.043657,0.0088271,0.017044
